Samsung Model,Samsung Price
Galaxy A54 5G 128GB|8+8GB (PRE-ORDER),$449
Galaxy A34 5G 128GB|8+8GB (PRE-ORDER),$379
Galaxy A14 5G 128GB|6+6GB,$249
Galaxy A14 128GB|4+4GB,$209
Samsung S Pen Pro,$119
Original Galaxy S23+ S-View Wallet Case,$49
Original Galaxy S23 Ultra Leather Case,$59
Original Galaxy S23 Ultra Silicone Case,$49
Original Galaxy S23 Ultra S-View Wallet Case – Black,$49
Galaxy S23 (In-Stock),$899
Galaxy S23+ (In-Stock),"$1,099"
Galaxy S23 Ultra 256GB|8GB (In-Stock),"$1,299"
Galaxy Tab A7 Book Cover,$49
Galaxy S23 Ultra 1TB|12GB (In-Stock),"$1,499"
Galaxy Tab A7 Lite Book Cover,$25
Galaxy Buds2 (In-Stock),$149
Galaxy S22 Ultra 256GB|12GB (Global Version),$959
Galaxy Tab S8 WiFi Only 128GB|8GB,$668
Galaxy A04e 32GB|3GB,$125
Galaxy A04 32GB|3GB,$139
Galaxy Z Fold4 256GB|12GB,"$1,699"
Galaxy Z Flip4 128GB|8GB,"$1,059"
Galaxy A04s 64GB|4GB,$169
Galaxy Z Flip4 256GB|8GB,"$1,099"
Galaxy A14 5G (In Stock: 010802272),$249.00
Galaxy A14 (In Stock: 010802272),$209.00
Galaxy S23 Ultra 256G (Voucher: $100),"$1,299.00"
Galaxy S23+(Free Voucher $50),"$1,099.00"
Galaxy S23 128G|8G (Free Voucher $50),$899.00
Galaxy S23 Ultra 512G Get 1T (Call: 010802272),"$1,499.00"
Galaxy Z Flip 4​ (Pro. March: OFF $380+Gift),"$1,059.00"
Galaxy Z Fold 4 256G|12 (Pro March: OFF OFF),"$1,699.00"
Galaxy Z Fold 3 5G (Pro. March! OFF: $450+Gift),"$1,699.00"
Galaxy S22​ Ultra 256G|12G (Gllobal Version),$959.00
Galaxy A73 5G SIM2 (Pro. March: OFF: $70),$509.00
Galaxy A53 5G SIM2 (Pro. March: OFF $80),$449.00
Galaxy A33 5G 128G|8G (Pro. March: OFF $50),$369.00
Galaxy A23 128G+6G (Pro. March: OFF $40),$269.00
Galaxy A04s 64G+4G (Pro. March OFF $10),$169.00
Galaxy A13 128G+4G (Pro. March: OFF $30),$209.00
Galaxy A04e 32G+3G (Pro. March OFF $10),$139.00
Galaxy A52 128G+8G (Pro. March: OFF $80),$369.00
"
Galaxy S23
",$899
"
Galaxy S23 Plus
","$1,099"
"
Galaxy S23 Ultra
","$1,499"
"
Galaxy Z Fold4 5G
","$1,899"
"
Galaxy Z Flip4 5G
","$1,099"
"
Galaxy M53
",$399
"
Galaxy M33
",$329
"
Galaxy M23
",$269
"
Galaxy A73 5G
",$449
"
Galaxy A33 5G
",$339
"
Galaxy A23
",$249
"
Galaxy A13
",$199
"
Galaxy A53 5G
",$389
"
Galaxy S22 Ultra
","$1,299"
"
Galaxy S22+
",$999
"
Galaxy S22
",$899
"
Galaxy S21 FE
",$699
"
Galaxy M52 5G
",$359
"
Galaxy M32
",$299
"
Galaxy M22
",$229
"
Galaxy A03s
",$149
"
Galaxy A03
",$129
"
Galaxy A22 4G
",$219
"
Galaxy Z Flip3 5G
",$529
"
Galaxy Z Fold3 5G
","$1,099"
GalaxyA54,"
                    $449.00
                "
GalaxyA34,"
                    $379.00
                "
GalaxyA14,"
                    $209.00
                "
GalaxyA145G,"
                    $249.00
                "
GalaxyS23Ultra,"
                    $1,299.00
                "
GalaxyS23+,"
                    $1,099.00
                "
GalaxyS23,"
                    $899.00
                "
GalaxyS23UltraLeatherCover,"
                    $59.00
                "
GalaxyS23UltraClearCase,"
                    $29.00
                "
GalaxyS23UltraSmartViewWalletCase,"
                    $59.00
                "
GalaxyS23/S23+SmartViewWalletCase,"
                    $59.00
                "
GalaxyS23/S23+ClearCase,"
                    $29.00
                "
Galaxy A54 5G 128GB|8+8GB (PRE-ORDER),$449
Galaxy A34 5G 128GB|8+8GB (PRE-ORDER),$379
Galaxy A14 5G 128GB|6+6GB,$249
Galaxy A14 128GB|4+4GB,$209
Galaxy S23 Ultra 256GB|8GB (In-Stock),"$1,299"
Galaxy S23 Ultra 512GB|12GB (In-Stock),"$1,499"
Galaxy S23 Plus 256GB|8GB (In-stock),"$1,099"
Galaxy S23 256GB|8GB (InStock),$899
Galaxy Z Flip4 128GB|8GB,$679
Galaxy Buds2,$139
Galaxy Tab S8 WiFi Only 128GB|8GB,$668
Galaxy Z Fold4 256GB|12GB,"$1,239"
Galaxy S22 Ultra 256GB|12GB,$949
Galaxy A04s,$169
Galaxy Buds2 Pro,$199
Galaxy Watch5 Pro 45mm,$449
Galaxy Watch5 40mm (New-100%),$249
Galaxy Watch5 44mm (No Active),$279
Galaxy A03 Core 32GB|2GB,$109
Galaxy M33 5G 128GB|8GB,$299
Galaxy A73 5G 128GB|8GB,$439
Galaxy A53 5G 128GB|8GB,$359
Galaxy A33 5G 128GB|8GB,$319
Galaxy Z Fold3 5G 256GB|12GB,$959
K-Mall S S22 Ultra 512G+12G Black, $1399
K-Mall S S22 Ultra 256G+12G White, $1299
K-Mall S M32 128G+8G Black, $299
K-Mall S M32 128G+8G White, $299
K-Mall S M52 5G 128G+8G Blue, $439
K-Mall S M52 5G 128G+8G Black, $439
K-Mall S M52 5G 128G+8G White, $439
K-Mall Galaxy ZFlip3 128GB+8G Black Wa, $999
K-Mall Galaxy ZFlip3 128GB+8G Lavender Wa, $999
K-Mall S M22 128G+6G Black, $239
K-Mall S M22 128G+6G White, $239
K-Mall S M32 128G+8G Blue, $299
K-Mall S Galaxy ZFold3 256GB+12G Black Wa, $1699
K-Mall Galaxy ZFlip3 128GB+8G Cream Wa, $999
K-Mall Galaxy ZFlip3 256GB+8G Cream WA, $1059
K-Mall Galaxy ZFlip3 128GB+8G Green Wa, $999
K-Mall Galaxy ZFlip3 256GB+8G Green WA, $1059
K-Mall Galaxy ZFlip3 256GB+8G Black WA, $1059
K-Mall Galaxy ZFlip3 256GB+8G Purple WA, $1059
K-Mall Galaxy ZFlip3 256GB+8G Green WA, $1059
K-Mall Galaxy ZFlip3 128GB+8G Cream Wa, $999
Galaxy S23 Ultra 512GB|12GB (PRE-ORDER) GET 1TB,"$ 1,499"
Galaxy S23+ 256GB|8GB (PRE-ORDER) GET 512GB,"$ 1,099"
Galaxy S23 128GB|8GB (PRE-ORDER) GET 256GB,$ 899
Galaxy S22 8GB/128GB NEW Color,$ 849
Galaxy Z Fold4 12GB/256GB,"$ 1,699"
Galaxy Z Flip4 8GB/128GB,"$ 1,049"
Galaxy A03 Core 2GB/32GB,$ 109
Galaxy M53 5G 128GB|8GB,$ 449
Galaxy M33 5G 8GB/128GB,$ 349
Galaxy M23 5G 6GB/128GB,$ 329
Galaxy Z Fold3 5G 12GB/256GB,"$ 1,699"
Galaxy A13 4GB/128GB,$ 209
Galaxy A23 6GB/128GB,$ 269
Galaxy A33 5G 8GB/128GB,$ 369
Galaxy A73 5G 8GB/128GB,$ 509
Galaxy A53 5G 8GB/128GB,$ 449
Galaxy S22+ 8GB/128GB,$ 999
Galaxy S22 8GB/128GB,$ 849
Galaxy S22 Ultra 256GB|12GB,"$ 1,199"
Galaxy A03 4GB/64GB,$ 159
Galaxy A03 3GB/32GB,$ 139
Galaxy M22 128GB|6GB,$ 0
Galaxy M32 128GB|8GB,$ 0
Galaxy M52 5G 128GB|8GB,$ 0
